,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,churn_month,contract_type_id,paperless_billing,gender,senior_citizen,partner,dependents,payment_type_id,monthly_charges,total_charges,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
21,0023-XUOPT,Female,0,Yes,No,13,Yes,Yes,2,No,Yes,Yes,No,Yes,No,1,No,1,94.1,1215.6,Yes,2022-01-31,1,No,Female,0,Yes,No,1,94.1,1215.6,2020-12-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,No
22,0027-KWYKW,Female,0,Yes,Yes,23,Yes,Yes,2,No,No,No,No,Yes,No,1,Yes,1,83.75,1849.95,No,,1,Yes,Female,0,Yes,Yes,1,83.75,1849.95,2020-02-21 18:07:34,Yes,Yes,2,No,No,No,No,Yes,No
23,0030-FNXPP,Female,0,No,No,3,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,2,19.85,57.2,No,,1,No,Female,0,No,No,2,19.85,57.2,2021-10-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
24,0031-PVLZI,Female,0,Yes,Yes,4,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,2,20.35,76.35,Yes,2022-01-31,1,No,Female,0,Yes,Yes,2,20.35,76.35,2021-09-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
25,0032-PGELS,Female,0,Yes,Yes,1,No,No phone service,1,Yes,No,No,No,No,No,1,No,3,30.5,30.5,Yes,2022-01-31,1,No,Female,0,Yes,Yes,3,30.5,30.5,2021-12-21 18:07:34,No,No phone service,1,Yes,No,No,No,No,No
26,0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,2,No,Yes,Yes,Yes,Yes,Yes,2,Yes,3,103.7,5656.75,No,,2,Yes,Female,0,Yes,Yes,3,103.7,5656.75,2017-06-21 18:07:34,Yes,No,2,No,Yes,Yes,Yes,Yes,Yes
27,0040-HALCW,Male,0,Yes,Yes,54,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,4,20.4,1090.6,No,,3,No,Male,0,Yes,Yes,4,20.4,1090.6,2017-07-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
28,0042-JVWOJ,Male,0,No,No,26,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,3,19.6,471.85,No,,2,Yes,Male,0,No,No,3,19.6,471.85,2019-11-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
29,0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,3,19.7,1396.9,No,,3,No,Female,0,Yes,Yes,3,19.7,1396.9,2016-04-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
30,0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,2,No,No,No,No,Yes,Yes,2,No,4,91.2,3247.55,No,,2,No,Male,0,Yes,Yes,4,91.2,3247.55,2018-12-21 18:07:34,Yes,No,2,No,No,No,No,Yes,Yes
31,0048-PIHNL,Female,0,Yes,No,49,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,3,20.45,900.9,No,,2,No,Female,0,Yes,No,3,20.45,900.9,2017-12-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
32,0052-DCKON,Male,0,Yes,No,66,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,2,No,3,115.8,7942.15,No,,2,No,Male,0,Yes,No,3,115.8,7942.15,2016-07-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
33,0052-YNYOT,Female,0,No,No,67,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,1,20.55,1343.4,No,,2,No,Female,0,No,No,1,20.55,1343.4,2016-06-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
34,0056-EPFBG,Male,0,Yes,Yes,20,No,No phone service,1,Yes,No,Yes,Yes,No,No,3,Yes,4,39.4,825.4,No,,3,Yes,Male,0,Yes,Yes,4,39.4,825.4,2020-05-21 18:07:34,No,No phone service,1,Yes,No,Yes,Yes,No,No
35,0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,1,25.1,1070.15,No,,3,Yes,Female,0,No,Yes,1,25.1,1070.15,2018-06-21 18:07:34,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
36,0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,2,Yes,No,No,No,Yes,No,1,Yes,3,89.8,4959.6,No,,1,Yes,Female,0,Yes,No,3,89.8,4959.6,2017-06-21 18:07:34,Yes,Yes,2,Yes,No,No,No,Yes,No
37,0060-FUALY,Female,0,Yes,No,59,Yes,Yes,2,Yes,Yes,No,No,Yes,No,1,Yes,1,94.75,5597.65,No,,1,Yes,Female,0,Yes,No,1,94.75,5597.65,2017-02-21 18:07:34,Yes,Yes,2,Yes,Yes,No,No,Yes,No
38,0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,3,20.3,224.5,No,,3,No,Female,0,Yes,Yes,3,20.3,224.5,2021-01-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
39,0064-YIJGF,Male,0,Yes,Yes,27,Yes,Yes,2,No,No,No,No,No,No,1,Yes,3,75.75,1929,No,,1,Yes,Male,0,Yes,Yes,3,75.75,1929,2019-10-21 18:07:34,Yes,Yes,2,No,No,No,No,No,No
40,0067-DKWBL,Male,1,No,No,2,Yes,No,1,Yes,No,No,No,No,No,1,Yes,1,49.25,91.1,Yes,2022-01-31,1,Yes,Male,1,No,No,1,49.25,91.1,2021-11-21 18:07:34,Yes,No,1,Yes,No,No,No,No,No
41,0068-FIGTF,Female,0,No,No,27,Yes,No,1,No,Yes,Yes,Yes,Yes,Yes,2,No,2,78.2,2078.95,No,,2,No,Female,0,No,No,2,78.2,2078.95,2019-10-21 18:07:34,Yes,No,1,No,Yes,Yes,Yes,Yes,Yes
42,0071-NDAFP,Male,0,Yes,Yes,25,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,4,25.5,630.6,No,,3,No,Male,0,Yes,Yes,4,25.5,630.6,2019-12-21 18:07:34,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
43,0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,1,Yes,Yes,Yes,No,No,No,2,Yes,3,61.6,1611,No,,2,Yes,Male,0,Yes,Yes,3,61.6,1611,2019-12-21 18:07:34,Yes,No,1,Yes,Yes,Yes,No,No,No
44,0076-LVEPS,Male,0,No,Yes,29,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,1,Yes,2,45.0,1242.45,No,,1,Yes,Male,0,No,Yes,2,45.0,1242.45,2019-08-21 18:07:34,No,No phone service,1,Yes,Yes,Yes,Yes,No,No
45,0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,3,Yes,3,85.15,6316.2,No,,3,Yes,Male,0,Yes,No,3,85.15,6316.2,2016-01-21 18:07:34,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes
46,0080-EMYVY,Female,0,No,No,14,Yes,No,1,No,Yes,No,No,No,No,2,No,4,51.45,727.85,No,,2,No,Female,0,No,No,4,51.45,727.85,2020-11-21 18:07:34,Yes,No,1,No,Yes,No,No,No,No
47,0080-OROZO,Female,0,No,No,35,Yes,No,2,No,No,Yes,Yes,Yes,Yes,2,Yes,1,99.25,3532,No,,2,Yes,Female,0,No,No,1,99.25,3532,2019-02-21 18:07:34,Yes,No,2,No,No,Yes,Yes,Yes,Yes
48,0082-LDZUE,Male,0,No,No,1,Yes,No,1,No,No,No,No,No,No,1,Yes,2,44.3,44.3,No,,1,Yes,Male,0,No,No,2,44.3,44.3,2021-12-21 18:07:34,Yes,No,1,No,No,No,No,No,No
49,0082-OQIQY,Male,0,No,No,29,Yes,No,2,No,No,No,Yes,Yes,Yes,1,Yes,1,94.2,2607.6,No,,1,Yes,Male,0,No,No,1,94.2,2607.6,2019-08-21 18:07:34,Yes,No,2,No,No,No,Yes,Yes,Yes
50,0083-PIVIK,Male,0,No,No,64,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,2,No,1,81.25,5567.55,No,,2,No,Male,0,No,No,1,81.25,5567.55,2016-09-21 18:07:34,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No
51,0089-IIQKO,Female,0,Yes,Yes,39,Yes,Yes,2,No,No,No,Yes,Yes,Yes,1,Yes,4,99.95,3767.4,No,,1,Yes,Female,0,Yes,Yes,4,99.95,3767.4,2018-10-21 18:07:34,Yes,Yes,2,No,No,No,Yes,Yes,Yes
52,0093-EXYQL,Female,1,No,No,40,Yes,No,2,No,No,No,No,Yes,Yes,1,Yes,1,91.55,3673.6,No,,1,Yes,Female,1,No,No,1,91.55,3673.6,2018-09-21 18:07:34,Yes,No,2,No,No,No,No,Yes,Yes
53,0093-XWZFY,Male,0,No,No,40,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,1,Yes,4,104.5,4036.85,Yes,2022-01-31,1,Yes,Male,0,No,No,4,104.5,4036.85,2018-09-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
54,0094-OIFMO,Female,1,No,No,11,Yes,No,2,No,Yes,No,No,Yes,Yes,1,Yes,1,95.0,1120.3,Yes,2022-01-31,1,Yes,Female,1,No,No,1,95.0,1120.3,2021-02-21 18:07:34,Yes,No,2,No,Yes,No,No,Yes,Yes
55,0096-BXERS,Female,0,Yes,No,6,Yes,Yes,1,No,No,No,No,No,No,1,No,1,50.35,314.55,No,,1,No,Female,0,Yes,No,1,50.35,314.55,2021-07-21 18:07:34,Yes,Yes,1,No,No,No,No,No,No
56,0096-FCPUF,Male,0,No,No,30,Yes,Yes,1,Yes,No,No,No,No,Yes,1,Yes,2,64.5,1888.45,No,,1,Yes,Male,0,No,No,2,64.5,1888.45,2019-07-21 18:07:34,Yes,Yes,1,Yes,No,No,No,No,Yes
57,0098-BOWSO,Male,0,No,No,27,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,1,19.4,529.8,No,,1,Yes,Male,0,No,No,1,19.4,529.8,2019-10-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
58,0100-DUVFC,Male,1,Yes,No,70,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,Yes,1,104.8,7308.95,No,,2,Yes,Male,1,Yes,No,1,104.8,7308.95,2016-03-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
59,0103-CSITQ,Female,0,Yes,No,57,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,2,Yes,3,109.4,6252.7,No,,2,Yes,Female,0,Yes,No,3,109.4,6252.7,2017-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
60,0104-PPXDV,Male,0,Yes,No,58,Yes,No,1,No,No,Yes,No,No,No,2,No,4,50.3,2878.55,No,,2,No,Male,0,Yes,No,4,50.3,2878.55,2017-03-21 18:07:34,Yes,No,1,No,No,Yes,No,No,No
61,0106-GHRQR,Male,0,No,No,16,Yes,Yes,1,No,Yes,Yes,No,No,Yes,1,Yes,3,71.4,1212.1,No,,1,Yes,Male,0,No,No,3,71.4,1212.1,2020-09-21 18:07:34,Yes,Yes,1,No,Yes,Yes,No,No,Yes
62,0106-UGRDO,Female,0,Yes,No,69,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,1,116.0,8182.85,No,,3,Yes,Female,0,Yes,No,1,116.0,8182.85,2016-04-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
63,0107-WESLM,Male,0,No,No,1,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,1,19.85,19.85,Yes,2022-01-31,1,Yes,Male,0,No,No,1,19.85,19.85,2021-12-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
64,0107-YHINA,Male,0,No,Yes,1,Yes,Yes,2,No,No,Yes,No,Yes,Yes,1,Yes,1,99.75,99.75,Yes,2022-01-31,1,Yes,Male,0,No,Yes,1,99.75,99.75,2021-12-21 18:07:34,Yes,Yes,2,No,No,Yes,No,Yes,Yes
65,0111-KLBQG,Male,1,Yes,Yes,32,Yes,No,2,No,Yes,No,No,Yes,Yes,1,Yes,2,93.95,2861.45,No,,1,Yes,Male,1,Yes,Yes,2,93.95,2861.45,2019-05-21 18:07:34,Yes,No,2,No,Yes,No,No,Yes,Yes
66,0112-QAWRZ,Male,0,Yes,Yes,16,Yes,Yes,2,No,No,Yes,No,Yes,No,1,Yes,3,90.8,1442.2,No,,1,Yes,Male,0,Yes,Yes,3,90.8,1442.2,2020-09-21 18:07:34,Yes,Yes,2,No,No,Yes,No,Yes,No
67,0112-QWPNC,Male,0,Yes,No,49,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,2,No,1,84.35,4059.35,Yes,2022-01-31,2,No,Male,0,Yes,No,1,84.35,4059.35,2017-12-21 18:07:34,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes
68,0114-IGABW,Female,0,Yes,No,71,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,58.25,4145.9,No,,3,No,Female,0,Yes,No,3,58.25,4145.9,2016-02-21 18:07:34,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes
69,0114-PEGZZ,Female,0,No,No,33,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,1,No,1,107.55,3645.5,No,,1,No,Female,0,No,No,1,107.55,3645.5,2019-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
70,0114-RSRRW,Female,0,Yes,No,10,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,3,19.95,187.75,No,,1,Yes,Female,0,Yes,No,3,19.95,187.75,2021-03-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
71,0115-TFERT,Male,0,Yes,No,21,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,1,Yes,1,111.2,2317.1,Yes,2022-01-31,1,Yes,Male,0,Yes,No,1,111.2,2317.1,2020-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
72,0117-LFRMW,Male,0,Yes,Yes,37,No,No phone service,1,Yes,Yes,Yes,No,No,No,1,No,3,40.2,1448.8,Yes,2022-01-31,1,No,Male,0,Yes,Yes,3,40.2,1448.8,2018-12-21 18:07:34,No,No phone service,1,Yes,Yes,Yes,No,No,No
73,0118-JPNOY,Female,1,No,No,26,Yes,No,2,Yes,No,No,No,Yes,No,1,Yes,4,85.8,2193.65,No,,1,Yes,Female,1,No,No,4,85.8,2193.65,2019-11-21 18:07:34,Yes,No,2,Yes,No,No,No,Yes,No
74,0121-SNYRK,Male,0,No,No,50,No,No phone service,1,Yes,No,No,Yes,No,No,2,Yes,2,35.4,1748.9,No,,2,Yes,Male,0,No,No,2,35.4,1748.9,2017-11-21 18:07:34,No,No phone service,1,Yes,No,No,Yes,No,No
75,0122-OAHPZ,Female,0,No,No,7,Yes,Yes,2,No,No,No,No,No,No,1,Yes,1,73.85,511.25,Yes,2022-01-31,1,Yes,Female,0,No,No,1,73.85,511.25,2021-06-21 18:07:34,Yes,Yes,2,No,No,No,No,No,No
76,0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,2,88.1,5526.75,No,,3,No,Female,0,Yes,Yes,2,88.1,5526.75,2016-12-21 18:07:34,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
77,0125-LZQXK,Male,0,No,No,15,Yes,No,2,No,No,Yes,Yes,Yes,Yes,1,Yes,1,101.35,1553.95,Yes,2022-01-31,1,Yes,Male,0,No,No,1,101.35,1553.95,2020-10-21 18:07:34,Yes,No,2,No,No,Yes,Yes,Yes,Yes
78,0128-MKWSG,Female,0,No,Yes,26,No,No phone service,1,Yes,No,No,Yes,No,Yes,1,No,2,45.8,1147,No,,1,No,Female,0,No,Yes,2,45.8,1147,2019-11-21 18:07:34,No,No phone service,1,Yes,No,No,Yes,No,Yes
79,0129-KPTWJ,Male,0,Yes,No,72,Yes,No,2,No,No,Yes,No,Yes,Yes,1,Yes,1,94.65,6747.35,No,,1,Yes,Male,0,Yes,No,1,94.65,6747.35,2016-01-21 18:07:34,Yes,No,2,No,No,Yes,No,Yes,Yes
80,0129-QMPDR,Male,0,Yes,Yes,44,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,3,20.5,865.05,No,,2,Yes,Male,0,Yes,Yes,3,20.5,865.05,2018-05-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
81,0130-SXOUN,Male,0,No,No,66,Yes,Yes,2,No,Yes,No,No,No,Yes,1,No,4,89.4,5976.9,No,,1,No,Male,0,No,No,4,89.4,5976.9,2016-07-21 18:07:34,Yes,Yes,2,No,Yes,No,No,No,Yes
82,0133-BMFZO,Female,0,No,No,2,Yes,No,2,Yes,Yes,No,Yes,No,No,1,Yes,1,86.25,181.65,Yes,2022-01-31,1,Yes,Female,0,No,No,1,86.25,181.65,2021-11-21 18:07:34,Yes,No,2,Yes,Yes,No,Yes,No,No
83,0134-XWXCE,Female,1,No,No,44,Yes,No,1,No,No,Yes,Yes,Yes,Yes,2,No,3,74.85,3268.05,No,,2,No,Female,1,No,No,3,74.85,3268.05,2018-05-21 18:07:34,Yes,No,1,No,No,Yes,Yes,Yes,Yes
84,0135-NMXAP,Female,0,No,No,12,Yes,Yes,2,No,Yes,No,No,Yes,No,1,Yes,3,89.75,1052.4,Yes,2022-01-31,1,Yes,Female,0,No,No,3,89.75,1052.4,2021-01-21 18:07:34,Yes,Yes,2,No,Yes,No,No,Yes,No
85,0136-IFMYD,Male,1,Yes,No,69,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,3,Yes,1,109.95,7634.25,No,,3,Yes,Male,1,Yes,No,1,109.95,7634.25,2016-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
86,0137-OCGAB,Female,0,No,No,1,Yes,Yes,2,No,Yes,No,No,No,No,1,Yes,2,80.2,80.2,Yes,2022-01-31,1,Yes,Female,0,No,No,2,80.2,80.2,2021-12-21 18:07:34,Yes,Yes,2,No,Yes,No,No,No,No
87,0137-UDEUO,Female,0,No,No,3,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,2,19.85,63.75,Yes,2022-01-31,1,No,Female,0,No,No,2,19.85,63.75,2021-10-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
88,0139-IVFJG,Female,0,Yes,No,2,Yes,No,2,Yes,Yes,No,No,Yes,No,1,No,1,90.35,190.5,No,,1,No,Female,0,Yes,No,1,90.35,190.5,2021-11-21 18:07:34,Yes,No,2,Yes,Yes,No,No,Yes,No
89,0141-YEAYS,Female,1,No,No,27,Yes,Yes,2,No,Yes,Yes,No,No,No,1,Yes,3,86.45,2401.05,No,,1,Yes,Female,1,No,No,3,86.45,2401.05,2019-10-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,No,No
90,0142-GVYSN,Male,0,No,No,26,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,1,20.3,511.25,No,,1,Yes,Male,0,No,No,1,20.3,511.25,2019-11-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
91,0147-ESWWR,Female,1,Yes,No,39,Yes,Yes,2,No,No,No,Yes,Yes,Yes,1,Yes,1,101.25,3949.15,No,,1,Yes,Female,1,Yes,No,1,101.25,3949.15,2018-10-21 18:07:34,Yes,Yes,2,No,No,No,Yes,Yes,Yes
92,0148-DCDOS,Male,0,No,No,25,Yes,Yes,2,No,No,No,No,Yes,Yes,1,Yes,3,94.7,2362.1,Yes,2022-01-31,1,Yes,Male,0,No,No,3,94.7,2362.1,2019-12-21 18:07:34,Yes,Yes,2,No,No,No,No,Yes,Yes
93,0151-ONTOV,Female,0,No,No,1,Yes,No,2,No,No,No,No,No,No,1,No,2,70.9,70.9,Yes,2022-01-31,1,No,Female,0,No,No,2,70.9,70.9,2021-12-21 18:07:34,Yes,No,2,No,No,No,No,No,No
94,0156-FVPTA,Male,0,Yes,No,22,Yes,No,1,Yes,No,No,Yes,No,No,1,Yes,1,54.2,1152.7,Yes,2022-01-31,1,Yes,Male,0,Yes,No,1,54.2,1152.7,2020-03-21 18:07:34,Yes,No,1,Yes,No,No,Yes,No,No
